Date,Open,High,Low,Close,Volume,Adj Close
2010-10-08,3987.29,4044.11,3978.11,4024.47,385266500,4024.47
2010-09-30,3898.49,3964.29,3894.42,3963.46,266680400,3963.46
2010-09-29,4010.46,4012.60,3914.14,3920.69,295754800,3920.69
2010-09-28,4024.67,4024.67,3994.17,4011.67,315020000,4011.67
2010-09-27,3969.04,4028.85,3962.91,4028.27,229713200,4028.27
2010-09-21,3958.32,3972.59,3933.81,3961.03,191933000,3961.03
2010-09-20,3961.52,3984.40,3929.72,3955.19,270487600,3955.19
2010-09-17,3962.94,3986.90,3937.10,3961.76,270397100,3961.76
2010-09-16,4033.82,4039.06,3918.74,3964.21,432168500,3964.21
2010-09-15,4099.44,4100.16,4018.59,4035.92,422995300,4035.92
2010-09-14,4125.54,4130.59,4083.01,4100.55,391908400,4100.55
2010-09-13,4049.16,4132.00,4046.35,4118.22,435835000,4118.22
2010-09-10,3996.39,4041.54,3947.51,4039.99,372313600,4039.99
2010-09-09,4060.85,4067.42,3989.75,4002.12,522082900,4002.12
2010-09-08,4007.99,4058.96,3993.35,4056.74,483595900,4056.74
2010-09-07,4004.07,4022.87,3968.12,4021.97,488637600,4021.97
2010-09-06,4002.82,4016.62,3965.19,4011.45,543010100,4011.45
2010-09-03,3945.98,3987.13,3932.89,3985.57,485229400,3985.57
2010-09-02,3887.09,3945.52,3872.42,3936.30,451052000,3936.30
2010-09-01,3905.69,3917.65,3814.73,3859.24,441321600,3859.24
2010-08-31,3884.98,3904.09,3871.09,3894.96,403074600,3894.96
2010-08-30,3829.28,3903.51,3829.28,3894.14,415238800,3894.14
2010-08-27,3781.70,3817.05,3761.78,3815.18,258867200,3815.18
2010-08-26,3769.87,3794.55,3748.88,3783.83,334562600,3783.83
2010-08-25,3804.41,3829.18,3761.58,3766.76,419296600,3766.76
