Date,Open,High,Low,Close,Volume,Adj Close
2010-10-08,2681.25,2747.80,2677.99,2738.74,4294967200,2738.74
2010-09-30,2599.71,2656.00,2597.60,2655.66,4294967200,2655.66
2010-09-29,2608.92,2634.12,2603.93,2610.68,4294967200,2610.68
2010-09-28,2625.33,2625.33,2607.02,2611.35,4294967200,2611.35
2010-09-27,2600.54,2629.04,2597.14,2627.97,4294967200,2627.97
2010-09-21,2593.76,2601.10,2580.18,2591.55,4294967200,2591.55
2010-09-20,2601.48,2607.35,2573.63,2588.71,4294967200,2588.71
2010-09-17,2607.55,2615.08,2592.54,2598.69,4294967200,2598.69
2010-09-16,2646.92,2653.27,2583.34,2602.46,4294967200,2602.46
2010-09-15,2688.39,2688.49,2645.86,2652.50,4294967200,2652.50
2010-09-14,2694.07,2703.78,2678.97,2688.52,4294967200,2688.52
2010-09-13,2665.65,2696.67,2660.61,2688.32,4294967200,2688.32
2010-09-10,2657.23,2667.84,2628.83,2663.21,4294967200,2663.21
2010-09-09,2698.64,2698.64,2651.60,2656.35,4294967200,2656.35
2010-09-08,2687.71,2695.84,2674.32,2695.29,4294967200,2695.29
2010-09-07,2698.22,2704.93,2679.02,2698.36,4294967200,2698.36
2010-09-06,2667.20,2698.60,2664.24,2696.25,4294967200,2696.25
2010-09-03,2658.13,2660.54,2631.85,2655.39,4294967200,2655.39
2010-09-02,2646.89,2659.98,2636.42,2655.78,4294967200,2655.78
2010-09-01,2641.05,2662.88,2604.49,2622.88,4294967200,2622.88
2010-08-31,2644.79,2647.25,2626.79,2638.80,4294967200,2638.80
2010-08-30,2622.27,2656.36,2620.19,2652.66,4294967200,2652.66
2010-08-27,2602.50,2613.49,2588.64,2610.74,4294967200,2610.74
2010-08-26,2604.88,2616.96,2590.61,2603.48,4294967200,2603.48
2010-08-25,2634.95,2645.50,2595.73,2596.58,4294967200,2596.58
