Date,Open,High,Low,Close,Volume,Adj Close
2010-10-08,2808.91,2878.75,2805.43,2869.23,4294967200,2869.23
2010-09-30,2723.29,2782.39,2721.07,2782.02,4294967200,2782.02
2010-09-29,2732.99,2759.47,2727.74,2734.81,4294967200,2734.81
2010-09-28,2750.25,2750.25,2731.05,2735.58,4294967200,2735.58
2010-09-27,2724.40,2754.18,2720.74,2753.04,4294967200,2753.04
2010-09-21,2717.36,2724.99,2703.03,2714.96,4294967200,2714.96
2010-09-20,2725.50,2731.59,2696.20,2712.04,4294967200,2712.04
2010-09-17,2731.86,2739.76,2716.08,2722.57,4294967200,2722.57
2010-09-16,2773.05,2779.73,2706.41,2726.50,4294967200,2726.50
2010-09-15,2816.59,2816.71,2771.99,2778.91,4294967200,2778.91
2010-09-14,2822.55,2832.73,2806.72,2816.75,4294967200,2816.75
2010-09-13,2792.76,2825.29,2787.47,2816.52,4294967200,2816.52
2010-09-10,2784.04,2795.06,2754.21,2790.20,4294967200,2790.20
2010-09-09,2827.44,2827.44,2778.12,2783.10,4294967200,2783.10
2010-09-08,2815.95,2824.49,2801.90,2823.92,4294967200,2823.92
2010-09-07,2827.09,2834.13,2806.92,2827.14,4294967200,2827.14
2010-09-06,2794.42,2827.49,2791.26,2825.03,4294967200,2825.03
2010-09-03,2785.03,2787.47,2757.34,2781.98,4294967200,2781.98
2010-09-02,2773.42,2787.05,2762.34,2782.58,4294967200,2782.58
2010-09-01,2767.01,2790.03,2728.99,2748.25,4294967200,2748.25
2010-08-31,2770.84,2773.45,2752.03,2764.60,4294967200,2764.60
2010-08-30,2747.30,2782.97,2745.01,2779.10,4294967200,2779.10
2010-08-27,2726.50,2738.08,2712.10,2735.20,4294967200,2735.20
2010-08-26,2729.14,2741.74,2714.06,2727.53,4294967200,2727.53
2010-08-25,2760.82,2771.50,2719.51,2720.39,4294967200,2720.39
